id,survey_id,key,title,description,display_order,created_at
a2f57568-1024-4572-a3a6-e428f13c243a,33a6af69-de75-4c5d-a97b-053f6c1194f9,governance,School Governance & Status,,6,2025-12-20 15:06:32.563409
76240ee0-9e70-4483-9ce0-4459cf0b6f12,c7e9ec7c-0769-4f02-b597-97bdd2f96b1e,prevalence,HIV Prevalence,HIV prevalence rates across demographics,1,2025-12-20 16:42:18.234339
c292fcc8-df83-4ee7-b26d-9ab53931d749,33a6af69-de75-4c5d-a97b-053f6c1194f9,demographics,Household Population,,1,2025-12-20 12:27:30.362839
d0a2afff-dd61-42c7-8b7a-88420faa345a,33a6af69-de75-4c5d-a97b-053f6c1194f9,attendance,School Attendance,,2,2025-12-20 12:27:30.362839
14a2c7f5-465e-4cee-bdbf-afeaa1bca4b6,33a6af69-de75-4c5d-a97b-053f6c1194f9,literacy,Literacy & Numeracy,,3,2025-12-20 12:27:30.362839
85267977-f7d0-4be3-9074-3b88b89df056,c7e9ec7c-0769-4f02-b597-97bdd2f96b1e,treatment,Treatment & Care,Antiretroviral therapy coverage and viral suppression rates,2,2025-12-20 17:15:37.033541
b457b95a-55af-450e-9325-de18cfb4affb,c7e9ec7c-0769-4f02-b597-97bdd2f96b1e,testing,HIV Testing & Counseling,HIV testing coverage and counseling services,3,2025-12-20 17:22:15.98729
836f7f15-d456-4ddc-b03e-de811a3121f1,c7e9ec7c-0769-4f02-b597-97bdd2f96b1e,prevention,Prevention Programs,"PMTCT, condom use, and HIV prevention strategies",4,2025-12-20 17:26:40.689501
1d059b60-41cd-468f-a13d-27b5d496397a,c7e9ec7c-0769-4f02-b597-97bdd2f96b1e,coinfections,Co-Infections,"TB, Hepatitis B, and Hepatitis C co-infections with HIV",5,2025-12-20 17:52:48.81894
d73f5fb2-54ff-4135-81b2-d9e401096210,c7e9ec7c-0769-4f02-b597-97bdd2f96b1e,awareness,Knowledge & Awareness,"HIV knowledge, misconceptions, and prevention awareness",6,2025-12-20 17:54:39.305216
4d060da2-3bfc-43db-8c86-038c31e60447,384f1a1c-73df-45bd-86fc-e732b4a9ffec,household,Household Characteristics,"Data on household composition, water, and sanitation",1,2025-12-20 06:50:46.589187
2311bffe-af64-40c0-8018-ac47692ee044,3c116859-57da-4bb0-90d1-1c590b372bc6,fever_treatment,Fever & Case Management,Care seeking and treatment for children with fever,3,2025-12-21 12:10:39.994069
447e164e-5daa-4415-afdf-212aad374cb5,3c116859-57da-4bb0-90d1-1c590b372bc6,children,Child Health,,99,2025-12-21 13:40:11.701271
83bd9db4-8778-4004-a0df-a15926d7af29,3c116859-57da-4bb0-90d1-1c590b372bc6,demographics,Demographics,Household population by age,0,2025-12-21 12:10:39.994069
6fe87074-4fea-4b7f-96df-673d84ded76e,3c116859-57da-4bb0-90d1-1c590b372bc6,knowledge,Knowledge & Beliefs,,99,2025-12-21 13:40:12.415382
a76e114f-d051-40fb-a7ff-02dfa5c4ba3b,c7e9ec7c-0769-4f02-b597-97bdd2f96b1e,naiis_inc_683aba3b,HIV Incidence,,1,2025-12-21 15:36:20.242909
aa0b59fd-f51c-459c-ac78-5c861b23b071,c7e9ec7c-0769-4f02-b597-97bdd2f96b1e,naiis_vls_05400947,Viral Load Suppression,,3,2025-12-21 15:36:20.242909
fdde1bf6-a643-4a0c-997b-39763b53b972,3c116859-57da-4bb0-90d1-1c590b372bc6,prevention,Malaria Prevention,,99,2025-12-21 13:40:11.733007
f8c12e68-1fa9-4891-a050-effba81f0a5c,3c116859-57da-4bb0-90d1-1c590b372bc6,pregnancy,Maternal Health,,99,2025-12-21 13:40:11.846381
